"Dist Code","Year","State Code","State Name","Dist Name","CATTLE PRODUCTION (1000 KG)","BUFFALO PRODUCTION (1000 KG)","SHEEP PRODUCTION (1000 KG)","GOATS PRODUCTION (1000 KG)","PIGS PRODUCTION (1000 KG)","TOTAL PRODUCTION (1000 KG)","POULTRY PRODUCTION (1000 KG)"
"1","2007","14","Chhattisgarh","Durg","0.0","0.0","104.91","324.07","37.03","466.01","-1.0"
"1","2008","14","Chhattisgarh","Durg","0.0","0.0","101.58","281.04","40.1","422.72","-1.0"
"1","2009","14","Chhattisgarh","Durg","0.0","0.0","114.72","674.99","33.3","823.01","-1.0"
"1","2010","14","Chhattisgarh","Durg","0.0","0.0","140.55","740.93","46.93","928.42","-1.0"
"1","2011","14","Chhattisgarh","Durg","0.0","0.0","152.13","1027.34","54.71","1234.19","-1.0"
"1","2012","14","Chhattisgarh","Durg","0.0","0.0","186.64","1317.18","72.89","1576.7","-1.0"
"1","2013","14","Chhattisgarh","Durg","0.0","0.0","181.26","1410.1","98.44","1689.8","-1.0"
"1","2014","14","Chhattisgarh","Durg","0.0","0.0","0.14","1.15","0.11","1.41","-1.0"
"1","2015","14","Chhattisgarh","Durg","0.0","0.0","0.23","1.53","0.28","2.04","-1.0"
"2","2007","14","Chhattisgarh","Bastar","0.0","0.0","205.87","621.43","355.68","1182.98","-1.0"
"2","2008","14","Chhattisgarh","Bastar","0.0","0.0","151.68","643.61","485.23","1280.52","-1.0"
"2","2009","14","Chhattisgarh","Bastar","0.0","0.0","159.5","1224.35","530.1","1913.95","-1.0"
"2","2010","14","Chhattisgarh","Bastar","0.0","0.0","172.32","1076.21","538.63","1787.16","-1.0"
"2","2011","14","Chhattisgarh","Bastar","0.0","0.0","164.33","987.82","513.48","1665.62","-1.0"
"2","2012","14","Chhattisgarh","Bastar","0.0","0.0","182.11","1212.42","532.48","1927.01","-1.0"
"2","2013","14","Chhattisgarh","Bastar","0.0","0.0","183.75","1331.05","802.4","2317.2","-1.0"
"2","2014","14","Chhattisgarh","Bastar","0.0","0.0","0.14","1.62","0.56","2.33","-1.0"
"2","2015","14","Chhattisgarh","Bastar","0.0","0.0","0.09","0.78","0.29","1.16","-1.0"
"3","2007","14","Chhattisgarh","Raipur","0.0","0.0","215.53","303.43","30.05","549.01","-1.0"
"3","2008","14","Chhattisgarh","Raipur","0.0","0.0","281.81","346.78","41.28","669.87","-1.0"
"3","2009","14","Chhattisgarh","Raipur","0.0","0.0","296.47","1062.45","33.72","1392.64","-1.0"
"3","2010","14","Chhattisgarh","Raipur","0.0","0.0","304.85","946.84","45.53","1297.22","-1.0"
"3","2011","14","Chhattisgarh","Raipur","0.0","0.0","298.86","915.04","40.03","1253.93","-1.0"
"3","2012","14","Chhattisgarh","Raipur","0.0","0.0","307.92","966.11","41.05","1315.08","-1.0"
"3","2013","14","Chhattisgarh","Raipur","0.0","0.0","343.51","1092.49","67.62","1503.62","-1.0"
"3","2014","14","Chhattisgarh","Raipur","0.0","0.0","0.26","1.26","0.11","1.62","-1.0"
"3","2015","14","Chhattisgarh","Raipur","0.0","0.0","0.36","1.8","0.29","2.44","-1.0"
"4","2007","14","Chhattisgarh","Bilaspur","0.0","0.0","80.91","371.02","18.67","470.6","-1.0"
"4","2008","14","Chhattisgarh","Bilaspur","0.0","0.0","92.04","414.3","40.72","547.06","-1.0"
"4","2009","14","Chhattisgarh","Bilaspur","0.0","0.0","117.67","955.34","28.89","1101.9","-1.0"
"4","2010","14","Chhattisgarh","Bilaspur","0.0","0.0","114.24","976.35","41.12","1131.7","-1.0"
"4","2011","14","Chhattisgarh","Bilaspur","0.0","0.0","123.97","901.63","37.43","1063.04","-1.0"
"4","2012","14","Chhattisgarh","Bilaspur","0.0","0.0","180.51","1229.45","52.91","1462.87","-1.0"
"4","2013","14","Chhattisgarh","Bilaspur","0.0","0.0","183.17","1393.49","93.72","1670.38","-1.0"
"4","2014","14","Chhattisgarh","Bilaspur","0.0","0.0","0.09","1.37","0.12","1.57","-1.0"
"4","2015","14","Chhattisgarh","Bilaspur","0.0","0.0","0.22","1.29","0.24","1.76","-1.0"
"5","2007","14","Chhattisgarh","Raigarh","0.0","0.0","140.42","396.61","86.42","623.44","-1.0"
"5","2008","14","Chhattisgarh","Raigarh","0.0","0.0","153.5","499.99","30.99","684.48","-1.0"
"5","2009","14","Chhattisgarh","Raigarh","0.0","0.0","158.55","858.13","108.7","1125.38","-1.0"
"5","2010","14","Chhattisgarh","Raigarh","0.0","0.0","184.19","983.66","118.93","1286.77","-1.0"
"5","2011","14","Chhattisgarh","Raigarh","0.0","0.0","187.08","1061.38","122.45","1370.91","-1.0"
"5","2012","14","Chhattisgarh","Raigarh","0.0","0.0","215.13","1161.48","132.96","1509.57","-1.0"
"5","2013","14","Chhattisgarh","Raigarh","0.0","0.0","238.81","1217.37","186.6","1642.78","-1.0"
"5","2014","14","Chhattisgarh","Raigarh","0.0","0.0","0.19","1.11","0.33","1.62","-1.0"
"5","2015","14","Chhattisgarh","Raigarh","0.0","0.0","0.3","1.66","0.17","2.13","-1.0"
"6","2007","14","Chhattisgarh","Surguja","0.0","0.0","34.65","731.92","70.54","837.11","-1.0"
"6","2008","14","Chhattisgarh","Surguja","0.0","0.0","45.09","708.44","54.55","808.07","-1.0"
"6","2009","14","Chhattisgarh","Surguja","0.0","0.0","52.0","929.2","51.57","1032.77","-1.0"
"6","2010","14","Chhattisgarh","Surguja","0.0","0.0","60.58","1375.85","53.8","1490.23","-1.0"
"6","2011","14","Chhattisgarh","Surguja","0.0","0.0","138.36","2001.58","100.22","2240.16","-1.0"
"6","2012","14","Chhattisgarh","Surguja","0.0","0.0","125.64","2207.6","105.46","2438.7","-1.0"
"6","2013","14","Chhattisgarh","Surguja","0.0","0.0","175.24","2245.6","108.31","2529.15","-1.0"
"6","2014","14","Chhattisgarh","Surguja","0.0","0.0","0.04","1.94","0.19","2.17","-1.0"
"6","2015","14","Chhattisgarh","Surguja","0.0","0.0","0.01","2.07","0.37","2.45","-1.0"
"7","2005","6","Madhya Pradesh","Jabalpur","0.0","0.0","0.0","0.0","0.0","2200.0","-1.0"
"7","2006","6","Madhya Pradesh","Jabalpur","0.0","0.0","0.0","0.0","0.0","2100.0","-1.0"
"7","2007","6","Madhya Pradesh","Jabalpur","0.0","0.0","0.0","0.0","0.0","2200.0","-1.0"
"7","2008","6","Madhya Pradesh","Jabalpur","0.0","0.0","0.0","0.0","0.0","6000.0","-1.0"
"7","2009","6","Madhya Pradesh","Jabalpur","0.0","0.0","0.0","0.0","0.0","6000.0","-1.0"
"7","2010","6","Madhya Pradesh","Jabalpur","0.0","0.0","0.0","0.0","0.0","6200.0","-1.0"
"7","2011","6","Madhya Pradesh","Jabalpur","0.0","0.0","0.0","0.0","0.0","7000.0","-1.0"
"7","2012","6","Madhya Pradesh","Jabalpur","0.0","0.0","0.0","0.0","0.0","7300.0","-1.0"
"7","2013","6","Madhya Pradesh","Jabalpur","0.0","0.0","0.0","0.0","0.0","8200.0","-1.0"
"7","2014","6","Madhya Pradesh","Jabalpur","0.0","0.0","0.0","0.0","0.0","10210.0","-1.0"
"7","2015","6","Madhya Pradesh","Jabalpur","0.0","0.0","0.0","0.0","0.0","10250.0","-1.0"
"8","2005","6","Madhya Pradesh","Balaghat","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"8","2006","6","Madhya Pradesh","Balaghat","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"8","2007","6","Madhya Pradesh","Balaghat","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"8","2008","6","Madhya Pradesh","Balaghat","0.0","0.0","0.0","0.0","0.0","400.0","-1.0"
"8","2009","6","Madhya Pradesh","Balaghat","0.0","0.0","0.0","0.0","0.0","400.0","-1.0"
"8","2010","6","Madhya Pradesh","Balaghat","0.0","0.0","0.0","0.0","0.0","500.0","-1.0"
"8","2011","6","Madhya Pradesh","Balaghat","0.0","0.0","0.0","0.0","0.0","600.0","-1.0"
"8","2012","6","Madhya Pradesh","Balaghat","0.0","0.0","0.0","0.0","0.0","500.0","-1.0"
"8","2013","6","Madhya Pradesh","Balaghat","0.0","0.0","0.0","0.0","0.0","500.0","-1.0"
"8","2014","6","Madhya Pradesh","Balaghat","0.0","0.0","0.0","0.0","0.0","590.0","-1.0"
"8","2015","6","Madhya Pradesh","Balaghat","0.0","0.0","0.0","0.0","0.0","740.0","-1.0"
"9","2005","6","Madhya Pradesh","Chhindwara","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"9","2006","6","Madhya Pradesh","Chhindwara","0.0","0.0","0.0","0.0","0.0","400.0","-1.0"
"9","2007","6","Madhya Pradesh","Chhindwara","0.0","0.0","0.0","0.0","0.0","400.0","-1.0"
"9","2008","6","Madhya Pradesh","Chhindwara","0.0","0.0","0.0","0.0","0.0","800.0","-1.0"
"9","2009","6","Madhya Pradesh","Chhindwara","0.0","0.0","0.0","0.0","0.0","800.0","-1.0"
"9","2010","6","Madhya Pradesh","Chhindwara","0.0","0.0","0.0","0.0","0.0","800.0","-1.0"
"9","2011","6","Madhya Pradesh","Chhindwara","0.0","0.0","0.0","0.0","0.0","600.0","-1.0"
"9","2012","6","Madhya Pradesh","Chhindwara","0.0","0.0","0.0","0.0","0.0","800.0","-1.0"
"9","2013","6","Madhya Pradesh","Chhindwara","0.0","0.0","0.0","0.0","0.0","600.0","-1.0"
"9","2014","6","Madhya Pradesh","Chhindwara","0.0","0.0","0.0","0.0","0.0","800.0","-1.0"
"9","2015","6","Madhya Pradesh","Chhindwara","0.0","0.0","0.0","0.0","0.0","1450.0","-1.0"
"10","2005","6","Madhya Pradesh","Narsinghpur","0.0","0.0","0.0","0.0","0.0","100.0","-1.0"
"10","2006","6","Madhya Pradesh","Narsinghpur","0.0","0.0","0.0","0.0","0.0","100.0","-1.0"
"10","2007","6","Madhya Pradesh","Narsinghpur","0.0","0.0","0.0","0.0","0.0","100.0","-1.0"
"10","2008","6","Madhya Pradesh","Narsinghpur","0.0","0.0","0.0","0.0","0.0","100.0","-1.0"
"10","2009","6","Madhya Pradesh","Narsinghpur","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"10","2010","6","Madhya Pradesh","Narsinghpur","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"10","2011","6","Madhya Pradesh","Narsinghpur","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"10","2012","6","Madhya Pradesh","Narsinghpur","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"10","2013","6","Madhya Pradesh","Narsinghpur","0.0","0.0","0.0","0.0","0.0","400.0","-1.0"
"10","2014","6","Madhya Pradesh","Narsinghpur","0.0","0.0","0.0","0.0","0.0","420.0","-1.0"
"10","2015","6","Madhya Pradesh","Narsinghpur","0.0","0.0","0.0","0.0","0.0","460.0","-1.0"
"11","2005","6","Madhya Pradesh","Seoni / Shivani","0.0","0.0","0.0","0.0","0.0","100.0","-1.0"
"11","2006","6","Madhya Pradesh","Seoni / Shivani","0.0","0.0","0.0","0.0","0.0","100.0","-1.0"
"11","2007","6","Madhya Pradesh","Seoni / Shivani","0.0","0.0","0.0","0.0","0.0","100.0","-1.0"
"11","2008","6","Madhya Pradesh","Seoni / Shivani","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"11","2009","6","Madhya Pradesh","Seoni / Shivani","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"11","2010","6","Madhya Pradesh","Seoni / Shivani","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"11","2011","6","Madhya Pradesh","Seoni / Shivani","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"11","2012","6","Madhya Pradesh","Seoni / Shivani","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"11","2013","6","Madhya Pradesh","Seoni / Shivani","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"11","2014","6","Madhya Pradesh","Seoni / Shivani","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"11","2015","6","Madhya Pradesh","Seoni / Shivani","0.0","0.0","0.0","0.0","0.0","2130.0","-1.0"
"12","2005","6","Madhya Pradesh","Mandla","0.0","0.0","0.0","0.0","0.0","100.0","-1.0"
"12","2006","6","Madhya Pradesh","Mandla","0.0","0.0","0.0","0.0","0.0","100.0","-1.0"
"12","2007","6","Madhya Pradesh","Mandla","0.0","0.0","0.0","0.0","0.0","100.0","-1.0"
"12","2008","6","Madhya Pradesh","Mandla","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"12","2009","6","Madhya Pradesh","Mandla","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"12","2010","6","Madhya Pradesh","Mandla","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"12","2011","6","Madhya Pradesh","Mandla","0.0","0.0","0.0","0.0","0.0","500.0","-1.0"
"12","2012","6","Madhya Pradesh","Mandla","0.0","0.0","0.0","0.0","0.0","500.0","-1.0"
"12","2013","6","Madhya Pradesh","Mandla","0.0","0.0","0.0","0.0","0.0","800.0","-1.0"
"12","2014","6","Madhya Pradesh","Mandla","0.0","0.0","0.0","0.0","0.0","990.0","-1.0"
"12","2015","6","Madhya Pradesh","Mandla","0.0","0.0","0.0","0.0","0.0","940.0","-1.0"
"13","2005","6","Madhya Pradesh","Sagar","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"13","2006","6","Madhya Pradesh","Sagar","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"13","2007","6","Madhya Pradesh","Sagar","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"13","2008","6","Madhya Pradesh","Sagar","0.0","0.0","0.0","0.0","0.0","500.0","-1.0"
"13","2009","6","Madhya Pradesh","Sagar","0.0","0.0","0.0","0.0","0.0","600.0","-1.0"
"13","2010","6","Madhya Pradesh","Sagar","0.0","0.0","0.0","0.0","0.0","600.0","-1.0"
"13","2011","6","Madhya Pradesh","Sagar","0.0","0.0","0.0","0.0","0.0","600.0","-1.0"
"13","2012","6","Madhya Pradesh","Sagar","0.0","0.0","0.0","0.0","0.0","600.0","-1.0"
"13","2013","6","Madhya Pradesh","Sagar","0.0","0.0","0.0","0.0","0.0","700.0","-1.0"
"13","2014","6","Madhya Pradesh","Sagar","0.0","0.0","0.0","0.0","0.0","770.0","-1.0"
"13","2015","6","Madhya Pradesh","Sagar","0.0","0.0","0.0","0.0","0.0","1410.0","-1.0"
"14","2005","6","Madhya Pradesh","Damoh","0.0","0.0","0.0","0.0","0.0","100.0","-1.0"
"14","2006","6","Madhya Pradesh","Damoh","0.0","0.0","0.0","0.0","0.0","100.0","-1.0"
"14","2007","6","Madhya Pradesh","Damoh","0.0","0.0","0.0","0.0","0.0","100.0","-1.0"
"14","2008","6","Madhya Pradesh","Damoh","0.0","0.0","0.0","0.0","0.0","100.0","-1.0"
"14","2009","6","Madhya Pradesh","Damoh","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"14","2010","6","Madhya Pradesh","Damoh","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"14","2011","6","Madhya Pradesh","Damoh","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"14","2012","6","Madhya Pradesh","Damoh","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"14","2013","6","Madhya Pradesh","Damoh","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"14","2014","6","Madhya Pradesh","Damoh","0.0","0.0","0.0","0.0","0.0","350.0","-1.0"
"14","2015","6","Madhya Pradesh","Damoh","0.0","0.0","0.0","0.0","0.0","690.0","-1.0"
"15","2005","6","Madhya Pradesh","Tikamgarh","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"15","2006","6","Madhya Pradesh","Tikamgarh","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"15","2007","6","Madhya Pradesh","Tikamgarh","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"15","2008","6","Madhya Pradesh","Tikamgarh","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"15","2009","6","Madhya Pradesh","Tikamgarh","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"15","2010","6","Madhya Pradesh","Tikamgarh","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"15","2011","6","Madhya Pradesh","Tikamgarh","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"15","2012","6","Madhya Pradesh","Tikamgarh","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"15","2013","6","Madhya Pradesh","Tikamgarh","0.0","0.0","0.0","0.0","0.0","400.0","-1.0"
"15","2014","6","Madhya Pradesh","Tikamgarh","0.0","0.0","0.0","0.0","0.0","480.0","-1.0"
"15","2015","6","Madhya Pradesh","Tikamgarh","0.0","0.0","0.0","0.0","0.0","1840.0","-1.0"
"16","2005","6","Madhya Pradesh","Chhatarpur","0.0","0.0","0.0","0.0","0.0","100.0","-1.0"
"16","2006","6","Madhya Pradesh","Chhatarpur","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"16","2007","6","Madhya Pradesh","Chhatarpur","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"16","2008","6","Madhya Pradesh","Chhatarpur","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"16","2009","6","Madhya Pradesh","Chhatarpur","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"16","2010","6","Madhya Pradesh","Chhatarpur","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"16","2011","6","Madhya Pradesh","Chhatarpur","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"16","2012","6","Madhya Pradesh","Chhatarpur","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"16","2013","6","Madhya Pradesh","Chhatarpur","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"16","2014","6","Madhya Pradesh","Chhatarpur","0.0","0.0","0.0","0.0","0.0","380.0","-1.0"
"16","2015","6","Madhya Pradesh","Chhatarpur","0.0","0.0","0.0","0.0","0.0","670.0","-1.0"
"17","2005","6","Madhya Pradesh","Panna","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"17","2006","6","Madhya Pradesh","Panna","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"17","2007","6","Madhya Pradesh","Panna","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"17","2008","6","Madhya Pradesh","Panna","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"17","2009","6","Madhya Pradesh","Panna","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"17","2010","6","Madhya Pradesh","Panna","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"17","2011","6","Madhya Pradesh","Panna","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"17","2012","6","Madhya Pradesh","Panna","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"17","2013","6","Madhya Pradesh","Panna","0.0","0.0","0.0","0.0","0.0","4000.0","-1.0"
"17","2014","6","Madhya Pradesh","Panna","0.0","0.0","0.0","0.0","0.0","390.0","-1.0"
"17","2015","6","Madhya Pradesh","Panna","0.0","0.0","0.0","0.0","0.0","540.0","-1.0"
"18","2005","6","Madhya Pradesh","Rewa","0.0","0.0","0.0","0.0","0.0","100.0","-1.0"
"18","2006","6","Madhya Pradesh","Rewa","0.0","0.0","0.0","0.0","0.0","100.0","-1.0"
"18","2007","6","Madhya Pradesh","Rewa","0.0","0.0","0.0","0.0","0.0","100.0","-1.0"
"18","2008","6","Madhya Pradesh","Rewa","0.0","0.0","0.0","0.0","0.0","100.0","-1.0"
"18","2009","6","Madhya Pradesh","Rewa","0.0","0.0","0.0","0.0","0.0","100.0","-1.0"
"18","2010","6","Madhya Pradesh","Rewa","0.0","0.0","0.0","0.0","0.0","100.0","-1.0"
"18","2011","6","Madhya Pradesh","Rewa","0.0","0.0","0.0","0.0","0.0","100.0","-1.0"
"18","2012","6","Madhya Pradesh","Rewa","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"18","2013","6","Madhya Pradesh","Rewa","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"18","2014","6","Madhya Pradesh","Rewa","0.0","0.0","0.0","0.0","0.0","250.0","-1.0"
"18","2015","6","Madhya Pradesh","Rewa","0.0","0.0","0.0","0.0","0.0","1110.0","-1.0"
"19","2005","6","Madhya Pradesh","Sidhi","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"19","2006","6","Madhya Pradesh","Sidhi","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"19","2007","6","Madhya Pradesh","Sidhi","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"19","2008","6","Madhya Pradesh","Sidhi","0.0","0.0","0.0","0.0","0.0","400.0","-1.0"
"19","2009","6","Madhya Pradesh","Sidhi","0.0","0.0","0.0","0.0","0.0","500.0","-1.0"
"19","2010","6","Madhya Pradesh","Sidhi","0.0","0.0","0.0","0.0","0.0","500.0","-1.0"
"19","2011","6","Madhya Pradesh","Sidhi","0.0","0.0","0.0","0.0","0.0","600.0","-1.0"
"19","2012","6","Madhya Pradesh","Sidhi","0.0","0.0","0.0","0.0","0.0","500.0","-1.0"
"19","2013","6","Madhya Pradesh","Sidhi","0.0","0.0","0.0","0.0","0.0","600.0","-1.0"
"19","2014","6","Madhya Pradesh","Sidhi","0.0","0.0","0.0","0.0","0.0","730.0","-1.0"
"19","2015","6","Madhya Pradesh","Sidhi","0.0","0.0","0.0","0.0","0.0","1650.0","-1.0"
"20","2005","6","Madhya Pradesh","Satna","0.0","0.0","0.0","0.0","0.0","100.0","-1.0"
"20","2006","6","Madhya Pradesh","Satna","0.0","0.0","0.0","0.0","0.0","100.0","-1.0"
"20","2007","6","Madhya Pradesh","Satna","0.0","0.0","0.0","0.0","0.0","100.0","-1.0"
"20","2008","6","Madhya Pradesh","Satna","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"20","2009","6","Madhya Pradesh","Satna","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"20","2010","6","Madhya Pradesh","Satna","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"20","2011","6","Madhya Pradesh","Satna","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"20","2012","6","Madhya Pradesh","Satna","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"20","2013","6","Madhya Pradesh","Satna","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"20","2014","6","Madhya Pradesh","Satna","0.0","0.0","0.0","0.0","0.0","310.0","-1.0"
"20","2015","6","Madhya Pradesh","Satna","0.0","0.0","0.0","0.0","0.0","900.0","-1.0"
"21","2005","6","Madhya Pradesh","Shahdol","0.0","0.0","0.0","0.0","0.0","100.0","-1.0"
"21","2006","6","Madhya Pradesh","Shahdol","0.0","0.0","0.0","0.0","0.0","100.0","-1.0"
"21","2007","6","Madhya Pradesh","Shahdol","0.0","0.0","0.0","0.0","0.0","100.0","-1.0"
"21","2008","6","Madhya Pradesh","Shahdol","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"21","2009","6","Madhya Pradesh","Shahdol","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"21","2010","6","Madhya Pradesh","Shahdol","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"21","2011","6","Madhya Pradesh","Shahdol","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"21","2012","6","Madhya Pradesh","Shahdol","0.0","0.0","0.0","0.0","0.0","1000.0","-1.0"
"21","2013","6","Madhya Pradesh","Shahdol","0.0","0.0","0.0","0.0","0.0","1100.0","-1.0"
"21","2014","6","Madhya Pradesh","Shahdol","0.0","0.0","0.0","0.0","0.0","1690.0","-1.0"
"21","2015","6","Madhya Pradesh","Shahdol","0.0","0.0","0.0","0.0","0.0","2470.0","-1.0"
"22","2005","6","Madhya Pradesh","Gwalior","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"22","2006","6","Madhya Pradesh","Gwalior","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"22","2007","6","Madhya Pradesh","Gwalior","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"22","2008","6","Madhya Pradesh","Gwalior","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"22","2009","6","Madhya Pradesh","Gwalior","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"22","2010","6","Madhya Pradesh","Gwalior","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"22","2011","6","Madhya Pradesh","Gwalior","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"22","2012","6","Madhya Pradesh","Gwalior","0.0","0.0","0.0","0.0","0.0","400.0","-1.0"
"22","2013","6","Madhya Pradesh","Gwalior","0.0","0.0","0.0","0.0","0.0","500.0","-1.0"
"22","2014","6","Madhya Pradesh","Gwalior","0.0","0.0","0.0","0.0","0.0","570.0","-1.0"
"22","2015","6","Madhya Pradesh","Gwalior","0.0","0.0","0.0","0.0","0.0","770.0","-1.0"
"23","2005","6","Madhya Pradesh","Shivpuri","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"23","2006","6","Madhya Pradesh","Shivpuri","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"23","2007","6","Madhya Pradesh","Shivpuri","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"23","2008","6","Madhya Pradesh","Shivpuri","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"23","2009","6","Madhya Pradesh","Shivpuri","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"23","2010","6","Madhya Pradesh","Shivpuri","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"23","2011","6","Madhya Pradesh","Shivpuri","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"23","2012","6","Madhya Pradesh","Shivpuri","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"23","2013","6","Madhya Pradesh","Shivpuri","0.0","0.0","0.0","0.0","0.0","400.0","-1.0"
"23","2014","6","Madhya Pradesh","Shivpuri","0.0","0.0","0.0","0.0","0.0","460.0","-1.0"
"23","2015","6","Madhya Pradesh","Shivpuri","0.0","0.0","0.0","0.0","0.0","870.0","-1.0"
"24","2005","6","Madhya Pradesh","Guna","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"24","2006","6","Madhya Pradesh","Guna","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"24","2007","6","Madhya Pradesh","Guna","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"24","2008","6","Madhya Pradesh","Guna","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"24","2009","6","Madhya Pradesh","Guna","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"24","2010","6","Madhya Pradesh","Guna","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"24","2011","6","Madhya Pradesh","Guna","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"24","2012","6","Madhya Pradesh","Guna","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
"24","2013","6","Madhya Pradesh","Guna","0.0","0.0","0.0","0.0","0.0","300.0","-1.0"
"24","2014","6","Madhya Pradesh","Guna","0.0","0.0","0.0","0.0","0.0","320.0","-1.0"
"24","2015","6","Madhya Pradesh","Guna","0.0","0.0","0.0","0.0","0.0","590.0","-1.0"
"25","2005","6","Madhya Pradesh","Datia","0.0","0.0","0.0","0.0","0.0","100.0","-1.0"
"25","2006","6","Madhya Pradesh","Datia","0.0","0.0","0.0","0.0","0.0","100.0","-1.0"
"25","2007","6","Madhya Pradesh","Datia","0.0","0.0","0.0","0.0","0.0","100.0","-1.0"
"25","2008","6","Madhya Pradesh","Datia","0.0","0.0","0.0","0.0","0.0","200.0","-1.0"
