"Dist Code","Year","State Code","State Name","Dist Name","TOTAL POPULATION (1000 Number)","TOTAL MALE POPULATION (1000 Number)","TOTAL FEMALE POPULATION (1000 Number)","TOTAL RURAL POPULATION (1000 Number)","RURAL MALE POPULATION (1000 Number)","RURAL FEMALE POPULATION (1000 Number)","TOTAL URBAN POPULATION (1000 Number)","URBAN MALE POPULATION (1000 Number)","URBAN FEMALE POPULATION (1000 Number)","ST TOTAL POPULATION (1000 Number)","ST MALE POPULATION (1000 Number)","ST FEMALE POPULATION (1000 Number)","ST RURAL TOTAL POPULATION (1000 Number)","ST RURAL MALE POPULATION (1000 Number)","ST RURAL FEMALE POPULATION (1000 Number)","ST URBAN TOTAL POPULATION (1000 Number)","ST URBAN MALE POPULATION (1000 Number)","ST URBAN FEMALE POPULATION (1000 Number)","SC TOTAL POPULATION (1000 Number)","SC MALE POPULATION (1000 Number)","SC FEMALE POPULATION (1000 Number)","SC RURAL TOTAL POPULATION (1000 Number)","SC RURAL MALE POPULATION (1000 Number)","SC RURAL FEMALE POPULATION (1000 Number)","SC URBAN TOTAL POPULATION (1000 Number)","SC URBAN MALE POPULATION (1000 Number)","SC URBAN FEMALE POPULATION (1000 Number)","TOTAL LITERATES POPULATION (1000 Number)","MALE LITERATES POPULATION (1000 Number)","FEMALE LITERATES POPULATION (1000 Number)","TOTAL RURAL LITERATES POPULATION (1000 Number)","RURAL MALE LITERATES POPULATION (1000 Number)","RURAL FEMALE LITERATES POPULATION (1000 Number)","TOTAL URBAN LITERATES POPULATION (1000 Number)","URBAN MALE LITERATES POPULATION (1000 Number)","URBAN FEMALE LITERATES POPULATION (1000 Number)","TOTAL CULTIVATORS POPULATION (1000 Number)","MALE CULTIVATORS POPULATION (1000 Number)","FEMALE CULTIVATORS POPULATION (1000 Number)","TOTAL RURAL CULTIVATORS POPULATION (1000 Number)","RURAL MALE CULTIVATORS POPULATION (1000 Number)","RURAL FEMALE CULTIVATORS POPULATION (1000 Number)","TOTAL URBAN CULTIVATORS POPULATION (1000 Number)","URBAN MALE CULTIVATORS POPULATION (1000 Number)","URBAN FEMALE CULTIVATORS POPULATION (1000 Number)","TOTAL AGRICULTURAL LABOUR POPULATION (1000 Number)","MALE AGRICULTURAL LABOUR POPULATION (1000 Number)","FEMALE AGRICULTURAL LABOUR POPULATION (1000 Number)","TOTAL RURAL AGRICULTURAL LABOUR POPULATION (1000 Number)","RURAL MALE AGRICULTURAL LABOUR POPULATION (1000 Number)","RURAL FEMALE AGRICULTURAL LABOUR POPULATION (1000 Number)","TOTAL URBAN AGRICULTURAL LABOUR POPULATION (1000 Number)","URBAN MALE AGRICULTURAL LABOUR POPULATION (1000 Number)","URBAN FEMALE AGRICULTURAL LABOUR POPULATION (1000 Number)","NON AGRICULTURAL WORKERS POPULATION (1000 Number)","AGRICULTURAL WORKERS POPULATION (1000 Number)","TOTAL WORKERS POPULATION (1000 Number)"
"2","2001","14","Chhattisgarh","Bastar","2672.65","1329.25","1343.4","2458.58","1219.32","1239.26","214.07","109.93","104.15","1796.45","887.47","908.99","1750.42","863.97","886.45","46.04","23.5","22.54","90.49","44.91","45.59","73.6","36.47","37.14","16.89","8.43","8.46","1056.5","646.64","409.87","904.53","560.84","343.68","151.98","85.79","66.19","839.24","483.93","355.31","836.14","481.81","354.33","3.1","2.12","0.99","348.31","120.46","227.85","345.93","119.26","226.66","2.38","1.19","1.19","619.26","1187.55","1806.81"
"2","2011","14","Chhattisgarh","Bastar","3090.83","1534.73","1556.1","2672.64","1321.72","1350.91","418.19","213.01","205.19","2069.16","1015.54","1053.61","1937.81","949.69","988.1","131.35","65.85","65.51","97.6","48.72","48.9","67.53","33.7","33.84","30.08","15.02","15.07","1441.68","844.7","596.99","1141.82","679.11","462.71","299.87","165.58","134.29","754.77","455.99","298.79","741.14","447.16","294.0","13.63","8.85","4.79","550.04","215.75","334.29","532.03","207.05","324.98","18.0","8.71","9.31","1482.73","1304.81","2787.54"
"3","1961","14","Chhattisgarh","Raipur","2002.0","982.68","1019.33","1773.86","864.02","909.84","228.15","118.66","109.49","310.16","151.92","158.25","307.31","150.51","156.8","2.85","1.41","1.44","299.05","145.75","153.31","283.66","138.03","145.64","15.39","7.72","7.67","370.25","304.43","65.82","268.52","233.25","35.27","101.73","71.18","30.55","703.39","348.69","354.7","693.27","343.28","350.0","10.12","5.41","4.71","245.46","125.27","120.19","242.88","124.26","118.63","2.58","1.01","1.57","856.06","948.85","1804.91"
"3","1971","14","Chhattisgarh","Raipur","2611.18","1300.14","1311.04","2286.07","1130.54","1155.53","325.11","169.61","155.51","382.24","186.34","195.9","377.79","184.1","193.69","4.45","2.24","2.2","355.9","175.71","180.19","334.9","165.4","169.5","21.0","10.32","10.68","616.32","475.06","141.25","453.32","369.47","83.85","163.0","105.6","57.4","573.66","374.47","199.19","566.31","368.84","197.47","7.35","5.63","1.72","351.85","180.95","170.9","345.8","177.66","168.14","6.05","3.29","2.76","1636.48","925.51","2561.99"
"3","1981","14","Chhattisgarh","Raipur","3079.48","1532.69","1546.78","2550.25","1259.4","1290.85","529.23","273.29","255.94","571.48","280.05","291.44","549.97","268.81","281.16","21.51","11.24","10.28","424.15","210.04","214.1","372.77","184.16","188.61","51.37","25.88","25.49","262.56","195.18","67.38","203.21","158.24","44.97","59.35","36.94","22.41","582.12","411.3","170.82","579.07","408.82","170.25","3.06","2.48","0.57","138.91","71.06","67.84","135.36","68.92","66.44","3.55","2.14","1.41","1673.34","721.03","2394.37"
"3","1991","14","Chhattisgarh","Raipur","3908.04","1960.76","1947.28","3136.42","1563.13","1573.29","771.62","397.64","373.99","714.03","352.56","361.47","676.81","333.31","343.5","37.22","19.25","17.97","563.58","281.87","281.71","472.42","235.71","236.7","91.16","46.16","45.0","1524.63","1033.32","491.31","1073.31","762.57","310.74","451.31","270.75","180.56","845.7","487.4","358.3","829.2","476.5","352.7","16.5","10.9","5.6","493.4","233.6","259.8","473.5","223.7","249.8","19.9","9.9","9.9","2194.19","1339.1","3533.29"
"3","2001","14","Chhattisgarh","Raipur","4572.79","2297.0","2275.79","3464.98","1724.37","1740.61","1107.81","572.63","535.18","783.28","387.38","395.89","728.39","358.59","369.8","54.9","28.79","26.1","641.5","320.25","321.28","500.58","248.87","251.72","140.92","71.38","69.55","2663.7","1589.91","1073.79","1903.6","1153.52","750.08","760.1","436.4","323.7","709.53","410.05","299.48","699.25","402.94","296.31","10.27","7.11","3.17","713.33","295.24","418.09","698.86","289.39","409.47","14.47","5.85","8.62","1752.27","1422.86","3175.12"
"3","2011","14","Chhattisgarh","Raipur","5896.4","2958.06","2938.36","4143.77","2063.68","2080.1","1752.64","894.38","858.27","963.98","474.67","489.32","868.49","426.88","441.63","95.47","47.79","47.68","922.41","460.14","462.27","690.97","344.56","346.42","231.45","115.59","115.86","3814.54","2161.17","1653.37","2533.61","1459.52","1074.1","1280.95","701.65","579.29","657.92","412.44","245.48","636.22","397.66","238.56","21.69","14.79","6.92","1169.66","560.64","609.03","1114.45","531.31","583.15","55.22","29.35","25.87","3236.59","1827.58","5064.17"
"4","1961","14","Chhattisgarh","Bilaspur","2021.79","998.74","1023.06","1853.36","910.16","943.2","168.44","88.58","79.86","367.09","182.67","184.42","360.82","179.37","181.45","6.27","3.3","2.97","367.56","181.16","186.41","350.01","172.19","177.82","17.55","8.97","8.58","368.53","304.74","63.79","291.05","250.4","40.65","77.48","54.34","23.14","779.84","401.93","377.91","770.19","396.45","373.73","9.66","5.48","4.18","208.27","97.93","110.34","206.3","97.09","109.2","1.98","0.84","1.14","874.75","988.12","1862.87"
"4","1971","14","Chhattisgarh","Bilaspur","2441.21","1217.95","1223.26","2190.73","1086.74","1103.99","250.49","131.21","119.28","417.61","207.57","210.04","408.45","202.74","205.71","9.17","4.84","4.33","422.13","209.71","212.41","394.24","195.43","198.81","27.86","14.29","13.57","556.33","435.64","120.69","431.14","353.62","77.53","125.18","82.02","43.16","536.44","394.65","141.8","528.47","388.13","140.34","7.97","6.52","1.45","311.04","153.22","157.83","303.06","149.05","154.01","7.99","4.17","3.82","1552.82","847.48","2400.3"
