"Dist Code","Year","State Code","State Name","Dist Name","TOTAL POPULATION (1000 Number)","TOTAL MALE POPULATION (1000 Number)","TOTAL FEMALE POPULATION (1000 Number)","TOTAL RURAL POPULATION (1000 Number)","RURAL MALE POPULATION (1000 Number)","RURAL FEMALE POPULATION (1000 Number)","TOTAL URBAN POPULATION (1000 Number)","URBAN MALE POPULATION (1000 Number)","URBAN FEMALE POPULATION (1000 Number)","ST TOTAL POPULATION (1000 Number)","ST MALE POPULATION (1000 Number)","ST FEMALE POPULATION (1000 Number)","ST RURAL TOTAL POPULATION (1000 Number)","ST RURAL MALE POPULATION (1000 Number)","ST RURAL FEMALE POPULATION (1000 Number)","ST URBAN TOTAL POPULATION (1000 Number)","ST URBAN MALE POPULATION (1000 Number)","ST URBAN FEMALE POPULATION (1000 Number)","SC TOTAL POPULATION (1000 Number)","SC MALE POPULATION (1000 Number)","SC FEMALE POPULATION (1000 Number)","SC RURAL TOTAL POPULATION (1000 Number)","SC RURAL MALE POPULATION (1000 Number)","SC RURAL FEMALE POPULATION (1000 Number)","SC URBAN TOTAL POPULATION (1000 Number)","SC URBAN MALE POPULATION (1000 Number)","SC URBAN FEMALE POPULATION (1000 Number)","TOTAL LITERATES POPULATION (1000 Number)","MALE LITERATES POPULATION (1000 Number)","FEMALE LITERATES POPULATION (1000 Number)","TOTAL RURAL LITERATES POPULATION (1000 Number)","RURAL MALE LITERATES POPULATION (1000 Number)","RURAL FEMALE LITERATES POPULATION (1000 Number)","TOTAL URBAN LITERATES POPULATION (1000 Number)","URBAN MALE LITERATES POPULATION (1000 Number)","URBAN FEMALE LITERATES POPULATION (1000 Number)","TOTAL CULTIVATORS POPULATION (1000 Number)","MALE CULTIVATORS POPULATION (1000 Number)","FEMALE CULTIVATORS POPULATION (1000 Number)","TOTAL RURAL CULTIVATORS POPULATION (1000 Number)","RURAL MALE CULTIVATORS POPULATION (1000 Number)","RURAL FEMALE CULTIVATORS POPULATION (1000 Number)","TOTAL URBAN CULTIVATORS POPULATION (1000 Number)","URBAN MALE CULTIVATORS POPULATION (1000 Number)","URBAN FEMALE CULTIVATORS POPULATION (1000 Number)","TOTAL AGRICULTURAL LABOUR POPULATION (1000 Number)","MALE AGRICULTURAL LABOUR POPULATION (1000 Number)","FEMALE AGRICULTURAL LABOUR POPULATION (1000 Number)","TOTAL RURAL AGRICULTURAL LABOUR POPULATION (1000 Number)","RURAL MALE AGRICULTURAL LABOUR POPULATION (1000 Number)","RURAL FEMALE AGRICULTURAL LABOUR POPULATION (1000 Number)","TOTAL URBAN AGRICULTURAL LABOUR POPULATION (1000 Number)","URBAN MALE AGRICULTURAL LABOUR POPULATION (1000 Number)","URBAN FEMALE AGRICULTURAL LABOUR POPULATION (1000 Number)","NON AGRICULTURAL WORKERS POPULATION (1000 Number)","AGRICULTURAL WORKERS POPULATION (1000 Number)","TOTAL WORKERS POPULATION (1000 Number)"
"65","2011","5","Karnataka","Kolar","2791.5","1412.84","1378.68","2030.32","1029.89","1000.42","761.19","382.94","378.26","235.37","119.16","116.21","211.34","106.75","104.6","24.02","12.4","11.61","778.44","390.18","388.26","600.31","301.67","298.65","178.11","88.5","89.62","1799.44","1006.27","793.17","1229.65","706.13","523.53","569.79","300.15","269.64","395.29","257.3","137.99","386.43","250.34","136.08","8.86","6.95","1.9","408.17","191.92","216.26","393.67","183.41","210.25","14.51","8.5","6.01","1433.86","803.46","2237.32"
"66","1961","5","Karnataka","Tumkur","1367.4","699.19","668.21","1228.41","626.14","602.27","138.99","73.05","65.94","0.4","0.22","0.18","0.39","0.21","0.18","0.02","0.01","0.01","232.68","119.78","112.91","221.37","113.82","107.56","11.31","5.96","5.35","309.59","237.6","71.99","241.91","194.32","47.6","67.68","43.28","24.4","487.47","297.41","190.07","480.48","292.16","188.32","6.99","5.24","1.75","61.48","28.62","32.86","59.84","27.59","32.25","1.64","1.03","0.61","680.89","548.95","1229.84"
"66","1971","5","Karnataka","Tumkur","1633.24","833.73","799.51","1442.61","733.41","709.21","190.63","100.33","90.3","2.08","1.05","1.03","1.99","0.99","1.0","0.09","0.05","0.04","267.89","138.36","129.53","251.08","129.34","121.74","16.81","9.02","7.79","476.68","335.25","141.42","373.06","272.31","100.75","103.62","62.94","40.67","321.68","289.59","32.08","316.08","284.61","31.48","5.6","4.99","0.61","100.91","68.6","32.31","97.99","66.3","31.7","2.92","2.3","0.61","1177.02","422.59","1599.61"
"66","1981","5","Karnataka","Tumkur","1977.85","1008.52","969.33","1705.57","866.08","839.49","272.28","142.44","129.84","140.12","71.59","68.53","128.53","65.58","62.95","11.59","6.01","5.58","334.31","171.0","163.31","307.34","156.8","150.54","26.97","14.2","12.78","730.2","486.5","243.7","568.15","391.3","176.85","162.05","95.2","66.85","418.95","352.57","66.39","411.15","345.59","65.56","7.8","6.97","0.83","148.14","76.94","71.2","142.9","73.46","69.44","5.24","3.48","1.76","1160.0","567.09","1727.09"
"66","1991","5","Karnataka","Tumkur","2305.82","1177.23","1128.59","1923.66","975.35","948.31","382.16","201.89","180.28","167.63","85.86","81.77","149.64","76.43","73.22","17.99","9.43","8.56","408.52","208.91","199.61","364.38","185.72","178.66","44.15","23.2","20.95","1065.93","664.86","401.08","818.45","521.46","296.99","247.49","143.4","104.09","500.4","374.4","126.0","489.6","365.6","124.0","10.8","8.8","2.0","193.8","95.6","98.3","185.4","90.4","95.0","8.4","5.1","3.3","1528.38","694.2","2222.58"
"66","2001","5","Karnataka","Tumkur","2579.52","1311.94","1267.58","2072.84","1050.3","1022.54","506.68","261.64","245.04","193.82","98.8","95.02","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","474.04","241.18","232.87","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","1537.33","893.84","643.5","1169.03","691.25","477.78","368.31","202.59","165.72","604.14","391.4","212.74","592.49","382.17","210.31","11.65","9.22","2.43","313.22","115.86","197.36","306.31","112.34","193.97","6.91","3.52","3.39","1264.12","917.35","2181.47"
"66","2011","5","Karnataka","Tumkur","2678.98","1350.59","1328.39","2079.9","1048.71","1031.19","599.08","301.88","297.19","209.56","105.27","104.29","180.02","90.56","89.47","29.54","14.71","14.83","506.9","254.54","252.37","429.96","215.95","214.01","76.94","38.59","38.36","1813.39","1006.02","807.37","1344.44","760.32","584.12","468.95","245.7","223.25","505.91","355.28","150.63","496.56","347.3","149.26","9.35","7.98","1.37","352.29","142.07","210.21","345.07","137.93","207.14","7.22","4.14","3.07","1324.33","858.2","2182.53"
"67","1961","5","Karnataka","Mysore","1671.4","856.92","814.48","1256.43","640.96","615.47","414.97","215.96","199.01","16.81","8.6","8.21","16.79","8.59","8.2","0.01","0.01","0.0","292.48","149.29","143.19","247.44","125.81","121.62","45.04","23.48","21.57","356.0","252.79","103.21","166.68","134.64","32.04","189.32","118.15","71.17","404.75","295.72","109.03","388.56","282.41","106.15","16.19","13.31","2.88","94.83","53.55","41.28","88.94","49.72","39.22","5.89","3.83","2.06","947.51","499.58","1447.09"
"67","1971","5","Karnataka","Mysore","2073.57","1067.61","1005.96","1545.09","791.39","753.7","528.48","276.21","252.27","19.55","10.1","9.45","18.7","9.66","9.05","0.84","0.44","0.4","356.47","183.8","172.67","298.85","153.55","145.3","57.62","30.25","27.37","527.96","352.71","175.25","256.44","190.91","65.54","271.51","161.81","109.71","336.91","313.08","23.83","324.64","301.48","23.16","12.27","11.6","0.67","140.91","103.0","37.91","133.14","96.72","36.42","7.77","6.28","1.5","1537.8","477.82","2015.62"
"67","1981","5","Karnataka","Mysore","2595.9","1330.81","1265.09","1884.33","963.46","920.87","711.57","367.34","344.22","166.65","84.43","82.22","143.67","72.68","70.98","22.98","11.74","11.24","459.54","235.45","224.09","376.74","192.4","184.34","82.8","43.04","39.76","813.68","523.07","290.61","408.98","289.59","119.38","404.7","233.47","171.23","423.24","379.3","43.94","408.69","365.66","43.03","14.54","13.64","0.91","202.36","122.93","79.43","192.32","116.11","76.22","10.04","6.82","3.22","1615.0","625.6","2240.6"
"67","1991","5","Karnataka","Mysore","3165.02","1620.62","1544.39","2224.72","1136.63","1088.1","939.29","483.0","456.3","102.1","51.87","50.24","77.7","39.46","38.24","24.41","12.41","12.0","597.92","306.56","291.36","480.39","245.42","234.97","117.53","61.14","56.39","1267.15","771.92","495.23","673.12","439.89","233.23","594.03","332.02","262.0","447.3","389.4","57.9","430.2","373.6","56.6","17.1","15.8","1.3","333.6","196.1","137.5","317.4","184.9","132.6","16.2","11.2","4.9","2267.08","780.9","3047.98"
"67","2001","5","Karnataka","Mysore","3589.19","1825.74","1763.45","2472.37","1257.51","1214.86","1116.81","568.23","548.59","377.46","190.04","187.43","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","705.26","358.91","346.35","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","1916.4","1099.51","816.89","1106.79","661.44","445.35","809.61","438.08","371.54","527.18","395.29","131.89","514.11","383.8","130.31","13.06","11.49","1.57","441.98","230.57","211.41","427.29","221.24","206.06","14.69","9.33","5.35","2035.87","969.15","3005.02"
"67","2011","5","Karnataka","Mysore","4021.92","2023.83","1998.09","2601.53","1312.38","1289.14","1420.38","711.45","708.94","454.77","226.07","228.7","353.51","176.03","177.49","101.26","50.04","51.22","796.09","400.22","395.86","602.04","303.12","298.92","194.06","97.11","96.95","2527.46","1376.73","1150.73","1436.93","808.64","628.29","1090.53","568.08","522.45","462.45","352.98","109.46","450.04","342.44","107.6","12.41","10.54","1.85","525.3","289.12","236.19","503.17","274.74","228.43","22.13","14.38","7.76","2225.96","987.75","3213.71"
"68","1961","5","Karnataka","Mandya","899.21","457.14","442.07","799.14","404.6","394.54","100.07","52.54","47.53","0.55","0.32","0.23","0.53","0.3","0.23","0.02","0.02","0.01","116.18","58.97","57.21","104.26","52.91","51.35","11.92","6.06","5.85","155.65","120.91","34.74","115.02","94.3","20.72","40.63","26.62","14.02","311.65","201.39","110.26","304.06","195.32","108.74","7.59","6.06","1.52","46.22","26.8","19.42","43.51","25.11","18.41","2.71","1.69","1.01","472.52","357.86","830.38"
"68","1971","5","Karnataka","Mandya","1152.76","588.27","564.49","993.97","505.2","488.77","158.79","83.07","75.72","2.8","1.55","1.25","1.89","1.08","0.81","0.91","0.47","0.44","141.44","72.67","68.77","123.27","63.24","60.03","18.17","9.42","8.74","257.01","185.45","71.56","189.52","142.94","46.58","67.49","42.51","24.98","224.76","209.38","15.39","216.91","202.03","14.88","7.86","7.35","0.51","80.69","58.66","22.03","74.31","53.93","20.38","6.38","4.73","1.65","828.18","305.45","1133.63"
"68","1981","5","Karnataka","Mandya","1418.08","723.65","694.44","1198.08","609.34","588.74","220.03","114.33","105.69","11.65","5.95","5.71","10.36","5.3","5.06","1.29","0.65","0.65","182.81","93.02","89.79","155.01","78.6","76.41","27.8","14.41","13.38","431.15","292.92","138.23","322.92","227.92","95.0","108.23","65.0","43.23","284.57","252.46","32.11","275.24","243.76","31.48","9.33","8.7","0.63","104.13","66.74","37.39","95.59","60.59","34.99","8.54","6.14","2.4","896.0","388.7","1284.7"
"68","1991","5","Karnataka","Mandya","1644.37","837.6","806.78","1377.57","699.72","677.85","266.8","137.88","128.93","11.94","6.13","5.81","9.49","4.85","4.63","2.45","1.28","1.17","226.63","115.3","111.33","190.55","96.55","94.01","36.08","18.75","17.33","675.5","422.78","252.72","518.82","333.17","185.65","156.68","89.61","67.07","338.3","271.9","66.4","327.2","262.3","64.9","11.0","9.5","1.5","158.7","87.9","70.7","144.9","79.1","65.8","13.7","8.8","4.9","1101.41","497.0","1598.41"
"68","2001","5","Karnataka","Mandya","1761.72","887.31","874.41","1479.53","743.75","735.79","282.18","143.56","138.62","17.19","8.69","8.5","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","247.21","123.7","123.52","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","960.95","557.44","403.51","763.51","449.82","313.69","197.44","107.62","89.83","414.57","294.32","120.25","406.2","286.76","119.45","8.37","7.57","0.8","205.35","91.25","114.1","197.01","86.5","110.5","8.35","4.75","3.59","920.96","619.92","1540.88"
"68","2011","5","Karnataka","Mandya","1805.77","905.09","900.68","1497.41","751.24","746.16","308.36","153.84","154.52","22.4","11.31","11.09","17.36","8.81","8.55","5.04","2.5","2.55","265.29","131.68","133.62","221.94","110.24","111.7","43.35","21.43","21.92","1149.65","638.67","510.98","919.29","517.9","401.39","230.36","120.76","109.6","388.98","286.04","102.94","381.54","279.51","102.03","7.45","6.53","0.92","216.16","101.22","114.94","207.86","96.56","111.3","8.3","4.66","3.64","934.36","605.14","1539.5"
"69","1961","5","Karnataka","Hassan","895.85","455.06","440.79","788.31","398.67","389.64","107.54","56.39","51.15","0.92","0.53","0.4","0.92","0.53","0.4","0.0","0.0","0.0","144.9","74.43","70.48","134.97","69.21","65.76","9.93","5.22","4.71","218.04","161.69","56.35","165.42","128.85","36.57","52.61","32.83","19.78","313.37","189.68","123.69","306.97","185.27","121.7","6.41","4.41","2.0","23.58","13.48","10.1","22.46","12.8","9.67","1.11","0.68","0.43","472.11","336.95","809.06"
"69","1971","5","Karnataka","Hassan","1098.88","554.7","544.18","949.46","476.69","472.78","149.42","78.01","71.41","1.61","0.83","0.78","1.53","0.78","0.75","0.07","0.05","0.03","169.59","87.43","82.17","155.61","80.09","75.52","13.99","7.34","6.65","335.09","228.72","106.37","254.36","180.64","73.73","80.72","48.08","32.65","217.05","196.92","20.13","211.71","192.13","19.57","5.35","4.79","0.56","39.82","29.59","10.23","38.31","28.33","9.99","1.51","1.27","0.24","825.79","256.87","1082.66"
"69","1981","5","Karnataka","Hassan","1357.01","683.04","673.98","1158.54","579.45","579.1","198.47","103.59","94.88","10.81","5.45","5.37","10.06","5.05","5.01","0.75","0.39","0.36","220.2","111.26","108.95","199.03","100.31","98.72","21.18","10.95","10.22","508.74","330.97","177.77","389.75","262.01","127.74","118.98","68.96","50.03","289.97","241.31","48.66","283.33","235.58","47.75","6.63","5.73","0.91","60.89","32.87","28.03","58.71","31.42","27.29","2.18","1.45","0.73","807.0","350.86","1157.86"
"69","1991","5","Karnataka","Hassan","1569.68","785.14","784.54","1296.96","644.65","652.31","272.72","140.49","132.23","16.58","8.33","8.25","14.87","7.44","7.43","1.71","0.89","0.82","273.38","137.29","136.09","241.05","120.65","120.41","32.33","16.65","15.68","756.95","457.33","299.61","575.24","356.06","219.18","181.71","101.27","80.43","336.2","258.6","77.7","328.9","252.2","76.7","7.3","6.4","0.9","85.1","44.0","41.2","80.1","40.8","39.3","5.0","3.2","1.8","1099.72","421.3","1521.02"
"69","2001","5","Karnataka","Hassan","1721.32","858.62","862.7","1416.58","703.28","713.3","304.74","155.35","149.39","26.45","13.3","13.15","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","311.73","155.41","156.32","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","1051.1","595.42","455.67","820.98","471.63","349.34","230.12","123.79","106.33","476.59","291.68","184.91","471.73","287.59","184.14","4.86","4.09","0.77","127.96","44.18","83.77","125.89","43.08","82.82","2.06","1.11","0.96","855.68","604.54","1460.22"
"69","2011","5","Karnataka","Hassan","1776.42","883.67","892.75","1399.66","695.58","704.08","376.76","188.08","188.68","32.33","15.99","16.34","27.9","13.78","14.12","4.43","2.21","2.23","345.03","169.96","175.07","298.01","146.83","151.18","47.02","23.13","23.89","1225.26","668.84","556.42","925.57","513.58","411.99","299.69","155.26","144.43","437.03","287.62","149.41","431.71","283.09","148.62","5.32","4.53","0.79","165.91","62.99","102.92","161.81","60.55","101.26","4.11","2.45","1.66","872.84","602.94","1475.78"
"70","1961","5","Karnataka","Shimoge","1017.37","536.1","481.27","757.0","394.28","362.72","260.37","141.82","118.55","6.24","3.13","3.12","5.97","2.98","2.98","0.27","0.14","0.13","145.44","75.79","69.65","125.62","65.36","60.26","19.82","10.42","9.39","285.38","205.49","79.89","180.91","135.97","44.95","104.46","69.52","34.94","225.26","147.84","77.42","216.54","141.15","75.39","8.72","6.69","2.04","51.98","30.58","21.4","49.87","29.25","20.62","2.11","1.33","0.78","567.14","277.24","844.38"
"70","1971","5","Karnataka","Shimoge","1300.38","673.02","627.36","993.22","511.45","481.77","307.16","161.57","145.59","7.34","3.89","3.65","7.03","3.62","3.41","0.51","0.27","0.24","185.47","96.29","89.18","161.82","83.78","78.04","23.65","12.5","11.14","476.55","310.62","165.93","314.06","212.44","101.62","162.5","98.19","64.31","161.9","147.5","14.41","154.54","140.46","14.08","7.36","7.03","0.33","114.58","78.59","35.99","106.96","73.21","33.75","7.63","5.38","2.25","969.78","276.48","1246.26"
"70","1981","5","Karnataka","Shimoge","1656.73","850.93","805.8","1230.55","629.35","601.2","426.18","221.58","204.6","52.43","26.83","25.6","45.79","23.42","22.37","6.64","3.4","3.23","264.2","136.18","128.03","221.37","113.98","107.39","42.83","22.19","20.64","736.18","457.31","278.87","478.83","308.69","170.13","257.35","148.61","108.74","234.79","203.41","31.38","225.24","194.56","30.68","9.55","8.85","0.7","195.65","107.77","87.88","182.51","99.59","82.92","13.15","8.18","4.96","1027.0","430.44","1457.44"
"70","1991","5","Karnataka","Shimoge","1452.26","739.56","712.7","981.17","-1.0","-1.0","471.09","-1.0","-1.0","74.11","37.96","36.15","64.38","32.9","31.48","9.73","5.06","4.67","337.92","173.54","164.38","279.83","143.53","136.3","58.09","30.0","28.09","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","270.3","224.1","46.2","259.5","214.5","45.1","10.8","9.7","1.2","254.2","138.7","115.5","232.6","124.6","108.0","21.6","14.1","7.5","1028.6","524.5","1553.1"
"70","2001","5","Karnataka","Shimoge","1639.6","829.37","810.23","1069.13","539.3","529.83","570.46","290.07","280.4","56.0","28.44","27.56","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","269.52","136.3","133.22","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","1078.57","599.17","479.41","654.5","371.13","283.37","424.08","228.04","196.04","219.62","165.13","54.49","210.86","157.09","53.77","8.76","8.04","0.72","223.91","105.15","118.76","205.99","94.43","111.56","17.92","10.71","7.21","925.75","443.53","1369.27"
"70","2011","5","Karnataka","Shimoge","1752.75","877.42","875.34","1129.03","565.82","563.21","623.73","311.59","312.13","65.41","32.71","32.71","49.96","25.05","24.92","15.45","7.66","7.79","308.16","153.55","154.61","225.32","112.67","112.64","82.84","40.87","41.97","1263.02","674.94","588.08","770.82","419.59","351.23","492.2","255.35","236.85","204.49","157.75","46.75","197.14","151.09","46.05","7.36","6.66","0.7","246.46","126.72","119.75","232.83","118.14","114.69","13.64","8.58","5.06","972.16","450.95","1423.11"
"71","1961","5","Karnataka","Chickmagalur","597.31","313.8","283.51","507.83","266.5","241.34","89.47","47.3","42.18","7.18","3.79","3.38","7.09","3.75","3.34","0.09","0.05","0.05","98.97","51.85","47.12","91.56","47.93","43.64","7.4","3.93","3.48","164.44","118.08","46.36","123.4","91.91","31.49","41.04","26.17","14.87","142.16","89.07","53.09","136.71","85.05","51.66","5.45","4.02","1.43","28.7","17.8","10.9","27.46","16.9","10.56","1.23","0.9","0.34","312.71","170.86","483.56"
"71","1971","5","Karnataka","Chickmagalur","735.45","379.53","355.92","620.36","319.53","300.83","115.09","60.0","55.09","10.09","5.04","5.05","9.76","4.87","4.89","0.33","0.17","0.16","119.73","61.85","57.88","109.68","56.56","53.12","10.05","5.29","4.76","257.24","167.41","89.83","196.22","131.28","64.94","61.02","36.13","24.89","97.23","89.69","7.54","93.58","86.16","7.41","3.65","3.53","0.12","47.76","32.82","14.94","45.24","30.76","14.48","2.52","2.06","0.46","578.26","144.99","723.25"
"71","1981","5","Karnataka","Chickmagalur","911.77","466.92","444.85","751.89","383.01","368.88","159.88","83.91","75.97","15.32","7.95","7.37","13.92","7.19","6.73","1.41","0.76","0.64","164.15","84.02","80.13","147.96","75.59","72.36","16.19","8.42","7.77","396.58","245.45","151.13","300.0","189.2","110.8","96.58","56.25","40.33","137.98","117.38","20.61","132.49","112.52","19.97","5.49","4.86","0.64","70.47","38.75","31.73","66.13","36.16","29.97","4.34","2.58","1.76","505.0","208.45","713.45"
"71","1991","5","Karnataka","Chickmagalur","1017.28","514.53","502.76","845.42","425.87","419.56","171.86","88.66","83.2","26.53","13.45","13.09","24.55","12.41","12.14","1.98","1.04","0.95","195.85","99.51","96.34","175.18","88.79","86.38","20.68","10.72","9.96","531.16","310.52","220.64","415.21","245.92","169.29","115.95","64.6","51.35","148.1","121.7","26.4","142.5","116.7","25.9","5.6","5.1","0.5","101.9","53.5","48.4","94.4","48.7","45.6","7.5","4.8","2.8","729.98","250.0","979.98"
"71","2001","5","Karnataka","Chickmagalur","1139.1","574.28","564.83","916.74","460.72","456.02","222.36","113.56","108.81","41.02","20.57","20.45","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","233.13","116.8","116.34","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","732.19","409.5","322.69","567.53","320.55","246.98","164.66","88.94","75.71","149.28","119.68","29.6","144.35","115.12","29.23","4.94","4.56","0.38","108.45","49.66","58.79","102.89","46.44","56.45","5.56","3.22","2.35","623.34","257.74","881.08"
"71","2011","5","Karnataka","Chickmagalur","1137.96","566.62","571.34","898.45","447.55","450.91","239.51","119.08","120.43","44.97","21.99","22.98","40.14","19.63","20.52","4.83","2.36","2.47","253.65","125.02","128.64","218.41","107.78","110.63","35.25","17.24","18.01","818.35","438.26","380.09","628.08","340.19","287.9","190.26","98.07","92.19","155.39","110.59","44.8","151.74","107.37","44.38","3.65","3.22","0.42","126.6","59.23","67.37","120.63","55.68","64.95","5.97","3.55","2.42","572.19","281.99","854.18"
"72","1961","5","Karnataka","Chitradurga","1094.28","563.99","530.3","904.13","462.85","441.27","190.16","101.13","89.03","0.15","0.1","0.05","0.09","0.05","0.04","0.07","0.05","0.01","203.85","104.77","99.07","187.42","96.72","90.7","16.43","8.06","8.37","274.58","207.79","66.79","189.04","150.63","38.41","85.54","57.16","28.38","337.01","195.15","141.86","329.79","189.85","139.94","7.22","5.3","1.92","79.71","38.3","41.41","75.91","36.14","39.77","3.8","2.16","1.64","536.69","416.72","953.41"
"72","1971","5","Karnataka","Chitradurga","1397.18","719.66","677.52","1114.26","569.49","544.77","282.92","150.17","132.75","0.76","0.38","0.38","0.57","0.29","0.28","0.19","0.09","0.1","254.29","130.96","123.33","226.27","116.16","110.11","28.02","14.8","13.22","445.31","308.22","137.09","299.71","216.96","82.74","145.6","91.26","54.34","224.04","190.31","33.73","217.24","184.23","33.0","6.81","6.07","0.73","151.44","88.03","63.4","145.14","83.96","61.18","6.3","4.07","2.23","973.27","375.48","1348.75"
"72","1981","5","Karnataka","Chitradurga","1777.5","914.21","863.29","1359.76","694.78","664.98","417.74","219.44","198.31","252.01","128.77","123.24","224.15","114.12","110.03","27.86","14.65","13.21","322.2","165.84","156.36","278.49","142.85","135.64","43.72","22.99","20.72","679.83","445.94","233.88","445.22","304.61","140.61","234.61","141.33","93.28","281.89","227.55","54.34","274.98","221.4","53.58","6.91","6.15","0.76","214.67","108.24","106.42","204.87","102.2","102.67","9.8","6.04","3.76","1014.0","496.56","1510.56"
"72","1991","5","Karnataka","Chitradurga","2180.44","1121.65","1058.8","1591.77","814.02","777.75","588.68","307.63","281.05","318.38","163.22","155.16","275.33","140.72","134.61","43.06","22.5","20.55","432.67","222.78","209.89","358.07","183.87","174.2","74.6","38.91","35.69","1008.54","626.39","382.16","643.28","414.86","228.42","365.26","211.53","153.74","312.9","249.0","63.9","302.8","240.4","62.4","10.0","8.6","1.4","271.6","131.1","140.5","258.2","123.3","134.9","13.4","7.7","5.6","1257.92","584.5","1842.42"
"72","2001","5","Karnataka","Chitradurga","3299.92","1689.97","1609.95","2483.59","1269.57","1214.02","816.33","420.4","395.93","475.94","243.12","232.81","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","669.72","342.46","327.26","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","1914.62","1116.72","797.91","1344.49","801.93","542.56","570.13","314.79","255.35","523.46","389.5","133.96","511.88","379.03","132.84","11.58","10.47","1.12","511.95","216.09","295.86","499.56","209.26","290.29","12.39","6.82","5.57","1794.0","1035.41","2829.41"
"72","2011","5","Karnataka","Chitradurga","3604.96","1827.24","1777.71","2646.41","1343.84","1302.57","958.54","483.4","475.14","535.66","270.75","264.92","458.28","232.15","226.14","77.39","38.6","38.79","781.72","395.12","386.6","649.5","328.86","320.63","132.22","66.26","65.96","2395.93","1327.83","1068.1","1673.24","945.98","727.27","722.69","381.85","340.84","517.1","384.47","132.62","507.05","375.98","131.07","10.05","8.5","1.56","590.21","272.57","317.64","574.17","263.29","310.87","16.05","9.28","6.76","1873.16","1107.31","2980.47"
"73","1961","5","Karnataka","Bellary","915.26","466.92","448.34","708.72","359.26","349.47","206.54","107.67","98.87","0.65","0.32","0.33","0.31","0.15","0.16","0.34","0.18","0.17","124.49","62.73","61.76","106.17","53.37","52.8","18.32","9.36","8.96","191.39","150.17","41.22","120.32","100.9","19.42","71.07","49.27","21.8","209.62","140.78","68.84","198.49","132.84","65.66","11.12","7.95","3.18","94.73","45.45","49.28","84.8","40.18","44.62","9.93","5.26","4.66","492.91","304.34","797.26"
"73","1971","5","Karnataka","Bellary","1122.47","571.34","551.13","817.55","413.43","404.13","304.92","157.92","147.0","4.26","2.15","2.1","1.9","0.94","0.96","2.35","1.21","1.14","167.38","84.2","83.18","138.8","69.83","68.97","28.58","14.37","14.21","293.11","212.91","80.2","172.3","133.51","38.8","120.8","79.4","41.4","140.16","121.34","18.82","130.97","113.01","17.96","9.19","8.33","0.86","169.61","98.57","71.05","144.67","83.1","61.57","24.95","15.47","9.48","782.29","309.77","1092.06"
"73","1981","5","Karnataka","Bellary","1489.23","754.9","734.32","997.07","502.68","494.39","492.16","252.23","239.94","164.58","82.66","81.92","124.27","62.57","61.7","40.31","20.09","20.22","244.01","122.37","121.64","185.73","92.96","92.77","58.28","29.41","28.87","456.28","314.42","141.86","239.87","177.54","62.34","216.41","136.89","79.52","211.09","163.59","47.5","192.81","148.5","44.31","18.28","15.09","3.19","231.66","110.45","121.21","194.23","90.14","104.08","37.43","20.31","17.12","853.0","442.75","1295.75"
"73","1991","5","Karnataka","Bellary","1890.09","961.99","928.1","1325.69","672.27","653.43","564.4","289.72","274.68","166.69","83.97","82.73","129.46","65.22","64.24","37.23","18.74","18.49","365.15","184.44","180.71","281.53","141.82","139.7","83.63","42.62","41.01","693.79","454.54","239.25","407.45","280.96","126.5","286.34","173.59","112.75","265.8","192.9","72.8","246.9","177.9","69.1","18.8","15.1","3.8","336.1","149.3","186.8","292.0","126.5","165.5","44.1","22.9","21.3","1316.17","601.9","1918.07"
"73","2001","5","Karnataka","Bellary","2025.24","1028.48","996.76","1319.24","667.27","651.97","706.0","361.22","344.79","364.64","183.66","180.98","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","374.22","188.54","185.68","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","1000.6","608.17","392.44","564.05","358.35","205.7","436.55","249.81","186.73","255.88","182.29","73.59","239.01","168.65","70.36","16.87","13.64","3.23","360.43","142.87","217.56","323.75","125.51","198.24","36.68","17.36","19.32","1103.31","616.31","1719.62"
"73","2011","5","Karnataka","Bellary","2452.6","1236.95","1215.64","1532.36","774.09","758.26","920.24","462.86","457.38","451.41","225.45","225.96","334.13","167.65","166.48","117.28","57.8","59.48","517.41","258.58","258.83","366.02","183.55","182.47","151.39","75.03","76.36","1421.62","813.44","608.18","809.31","478.1","331.21","612.31","335.34","276.97","258.08","180.73","77.35","244.27","169.66","74.62","13.81","11.08","2.73","406.09","175.99","230.1","367.04","156.08","210.96","39.05","19.91","19.14","1335.72","664.17","1999.89"
